inventario_id,cliente_id,cliente_nombre,tipo_equipo,marca,modelo,fecha_lectura,horometro_h,ubicacion
EQP-0069,CLI-049,Cliente 049,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2024-10-01T00:00:00Z,731,Depósito 5 - Ushuaia
EQP-0007,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 4.5,2024-08-01T00:00:00Z,2711,Taller 4 - Río Grande
EQP-0046,CLI-039,Cliente 039,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2022-01-08T00:00:00Z,89,Depósito 3 - Ushuaia
EQP-0087,CLI-038,Cliente 038,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-01-01T00:00:00Z,109,Oficina 1 - Tolhuin
EQP-0028,CLI-026,Cliente 026,Motor Cummins,Cummins,QSB 4.5,2025-03-01T00:00:00Z,2206,Planta 5 - Tolhuin
EQP-0038,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-10-01T00:00:00Z,80,Taller 1 - Río Grande
EQP-0002,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2024-07-01T00:00:00Z,2842,Sucursal 4 - Tolhuin
EQP-0094,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2022-01-01T00:00:00Z,200,Taller 2 - Río Grande
EQP-0020,CLI-028,Cliente 028,Motor Cummins,Cummins,QSB 4.5,2023-04-01T00:00:00Z,611,Depósito 3 - Río Grande
EQP-0060,CLI-049,Cliente 049,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2025-08-01T00:00:00Z,1909,Obra 3 - Ushuaia
EQP-0015,CLI-032,Cliente 032,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2023-11-01T00:00:00Z,152,Planta 4 - Tolhuin
EQP-0032,CLI-026,Cliente 026,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2025-02-01T00:00:00Z,2320,Planta 3 - Río Grande
EQP-0088,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-04-01T00:00:00Z,647,Sucursal 4 - Ushuaia
EQP-0038,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-07-01T00:00:00Z,1867,Taller 1 - Río Grande
EQP-0041,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-03-01T00:00:00Z,349,Taller 2 - Río Grande
EQP-0033,CLI-044,Cliente 044,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2023-03-01T00:00:00Z,76,Taller 5 - Ushuaia
EQP-0004,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-06-01T00:00:00Z,1644,Planta 4 - Río Grande
EQP-0050,CLI-024,Cliente 024,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2022-04-01T00:00:00Z,224,Taller 5 - Río Grande
EQP-0061,CLI-026,Cliente 026,Motor Cummins,Cummins,QSB 4.5,2025-02-01T00:00:00Z,1045,Planta 2 - Tolhuin
EQP-0085,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2024-02-01T00:00:00Z,2621,Depósito 3 - Ushuaia
EQP-0095,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-04-01T00:00:00Z,325,Taller 2 - Río Grande
EQP-0091,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2025-04-01T00:00:00Z,95,Taller 5 - Tolhuin
EQP-0046,CLI-039,Cliente 039,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2025-04-01T00:00:00Z,2085,Depósito 3 - Ushuaia
EQP-0090,CLI-024,Cliente 024,Motor Cummins,Cummins,QSB 4.5,2025-01-01T00:00:00Z,1587,Sucursal 4 - Tolhuin
EQP-0099,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-09-01T00:00:00Z,427,Depósito 4 - Río Grande
EQP-0088,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2023-04-01T00:00:00Z,280,Sucursal 4 - Tolhuin
EQP-0065,CLI-038,Cliente 038,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2024-06-01T00:00:00Z,1752,Taller 4 - Río Grande
EQP-0003,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-11-01T00:00:00Z,642,Taller 3 - Río Grande
EQP-0016,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-08-01T00:00:00Z,1070,Oficina 5 - Ushuaia
EQP-0099,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-05-01T00:00:00Z,3870,Depósito 4 - Tolhuin
EQP-0081,CLI-040,Cliente 040,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-07-01T00:00:00Z,561,Obra 5 - Tolhuin
EQP-0009,CLI-009,Cliente 009,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2024-03-01T00:00:00Z,1906,Oficina 5 - Ushuaia
EQP-0020,CLI-028,Cliente 028,Motor Cummins,Cummins,QSB 4.5,2025-09-01T00:00:00Z,1715,Depósito 3 - Río Grande
EQP-0062,CLI-044,Cliente 044,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2024-11-01T00:00:00Z,1944,Obra 1 - Río Grande
EQP-0016,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-04-01T00:00:00Z,952,Oficina 5 - Ushuaia
EQP-0076,CLI-044,Cliente 044,Motor Cummins,Cummins,QSB 4.5,2023-11-01T00:00:00Z,484,Taller 2 - Ushuaia
EQP-0036,CLI-044,Cliente 044,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2025-05-01T00:00:00Z,4018,Taller 2 - Tolhuin
EQP-0001,CLI-025,Cliente 025,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-03-01T00:00:00Z,1762,Sucursal 3 - Río Grande
EQP-0030,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2023-07-01T00:00:00Z,50431,Taller 4 - Río Grande
EQP-0099,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-01-10T00:00:00Z,2102,Depósito 4 - Tolhuin
EQP-0017,CLI-049,Cliente 049,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2025-06-01T00:00:00Z,1334,Sucursal 2 - Ushuaia
EQP-0063,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-07-01T00:00:00Z,2223,Planta 1 - Ushuaia
EQP-0056,CLI-011,Cliente 011,Motor Cummins,Cummins,QSB 6.7,2025-05-01T00:00:00Z,276,Obra 2 - Tolhuin
EQP-0026,CLI-026,Cliente 026,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2023-10-01T00:00:00Z,352,Taller 4 - Ushuaia
EQP-0073,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-08-01T00:00:00Z,57,Obra 4 - Río Grande
EQP-0087,CLI-038,Cliente 038,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-11-01T00:00:00Z,1747,Sucursal 3 - Ushuaia
EQP-0059,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-04-01T00:00:00Z,791,Oficina 5 - Río Grande
EQP-0034,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-08-01T00:00:00Z,2118,Obra 1 - Río Grande
EQP-0013,CLI-036,Cliente 036,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-07-01T00:00:00Z,1683,Oficina 1 - Tolhuin
EQP-0079,CLI-014,Cliente 014,Motor Cummins,Cummins,QSB 6.7,2025-06-01T00:00:00Z,673,Taller 2 - Río Grande
EQP-0079,CLI-014,Cliente 014,Motor Cummins,Cummins,QSB 6.7,2024-04-01T00:00:00Z,75,Taller 2 - Ushuaia
EQP-0022,CLI-004,Cliente 004,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-12-01T00:00:00Z,1268,Planta 4 - Río Grande
EQP-0016,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-01-01T00:00:00Z,562,Oficina 5 - Río Grande
EQP-0021,CLI-026,Cliente 026,Motor Cummins,Cummins,QSB 4.5,2023-09-01T00:00:00Z,75565,Oficina 1 - Tolhuin
EQP-0024,CLI-036,Cliente 036,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2023-08-01T00:00:00Z,448,Planta 5 - Tolhuin
EQP-0041,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-06-01T00:00:00Z,3281,Taller 2 - Ushuaia
EQP-0053,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2023-12-01T00:00:00Z,557,Oficina 2 - Ushuaia
EQP-0071,CLI-030,Cliente 030,Motor Cummins,Cummins,QSB 6.7,2025-06-01T00:00:00Z,866,Taller 5 - Río Grande
EQP-0057,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-08-01T00:00:00Z,89,Planta 4 - Tolhuin
EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-05-01T00:00:00Z,734,Planta 4 - Tolhuin
EQP-0019,CLI-036,Cliente 036,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2025-06-01T00:00:00Z,1687,Planta 1 - Ushuaia
EQP-0004,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-01-01T00:00:00Z,3553,Planta 4 - Ushuaia
EQP-0053,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2023-08-01T00:00:00Z,431,Oficina 2 - Ushuaia
EQP-0078,CLI-005,Cliente 005,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2023-12-01T00:00:00Z,118,Planta 3 - Río Grande
EQP-0011,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-01-12T00:00:00Z,663,Obra 5 - Río Grande
EQP-0081,CLI-040,Cliente 040,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-07-01T00:00:00Z,1366,Obra 5 - Río Grande
EQP-0041,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-12-01T00:00:00Z,1318,Taller 2 - Ushuaia
EQP-0055,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-04-01T00:00:00Z,514,Planta 1 - Ushuaia
EQP-0062,CLI-044,Cliente 044,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2025-01-01T00:00:00Z,2144,Obra 1 - Tolhuin
EQP-0034,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-12-01T00:00:00Z,1196,Obra 1 - Río Grande
EQP-0050,CLI-024,Cliente 024,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2022-02-01T00:00:00Z,145,Taller 5 - Ushuaia
EQP-0093,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-06-01T00:00:00Z,2797,Sucursal 4 - Ushuaia
EQP-0058,CLI-008,Cliente 008,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-01-01T00:00:00Z,2196,Oficina 5 - Río Grande
EQP-0065,CLI-038,Cliente 038,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2023-10-01T00:00:00Z,1122,Taller 4 - Río Grande
EQP-0074,CLI-049,Cliente 049,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2025-03-01T00:00:00Z,4661,Oficina 2 - Ushuaia
EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-07-01T00:00:00Z,857,Planta 4 - Ushuaia
EQP-0068,CLI-049,Cliente 049,Motor Cummins,Cummins,QSB 6.7,2024-01-01T00:00:00Z,2079,Oficina 3 - Río Grande
EQP-0041,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-06-01T00:00:00Z,753,Taller 2 - Ushuaia
EQP-0018,CLI-026,Cliente 026,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-07-01T00:00:00Z,2328,Obra 3 - Río Grande
EQP-0083,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-06-01T00:00:00Z,1428,Planta 5 - Tolhuin
EQP-0074,CLI-049,Cliente 049,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2022-01-07T00:00:00Z,1084,Oficina 2 - Ushuaia
EQP-0043,CLI-030,Cliente 030,Motor Cummins,Cummins,QSB 4.5,2022-09-01T00:00:00Z,795,Depósito 3 - Río Grande
EQP-0084,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-04-01T00:00:00Z,1459,Oficina 3 - Río Grande
EQP-0037,CLI-032,Cliente 032,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2024-04-01T00:00:00Z,2590,Obra 3 - Tolhuin
EQP-0089,CLI-044,Cliente 044,Motor Cummins,Cummins,QSB 4.5,2025-10-01T00:00:00Z,2672,Taller 3 - Tolhuin
EQP-0041,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-05-01T00:00:00Z,3168,Taller 2 - Tolhuin
EQP-0039,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-04-01T00:00:00Z,83261,Planta 2 - Ushuaia
EQP-0002,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2022-12-01T00:00:00Z,43660,Sucursal 4 - Tolhuin
EQP-0036,CLI-044,Cliente 044,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2025-06-01T00:00:00Z,4092,Taller 2 - Tolhuin
EQP-0067,CLI-005,Cliente 005,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2022-08-01T00:00:00Z,794,Sucursal 3 - Tolhuin
EQP-0065,CLI-038,Cliente 038,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2023-08-01T00:00:00Z,907,Taller 4 - Río Grande
EQP-0088,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2023-07-01T00:00:00Z,377,Sucursal 4 - Tolhuin
EQP-0036,CLI-044,Cliente 044,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2022-05-01T00:00:00Z,-58257,Taller 2 - Río Grande
EQP-0019,CLI-036,Cliente 036,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2023-08-01T00:00:00Z,108,Planta 1 - Río Grande
EQP-0096,CLI-048,Cliente 048,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-10-01T00:00:00Z,188,Planta 5 - Ushuaia
EQP-0033,CLI-044,Cliente 044,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2023-06-01T00:00:00Z,957,Taller 5 - Ushuaia
EQP-0028,CLI-026,Cliente 026,Motor Cummins,Cummins,QSB 4.5,2025-04-01T00:00:00Z,2249,Depósito 5 - Ushuaia
EQP-0016,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-10-01T00:00:00Z,167,Oficina 5 - Río Grande
EQP-0031,CLI-049,Cliente 049,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2024-03-01T00:00:00Z,300,Oficina 3 - Río Grande
EQP-0064,CLI-038,Cliente 038,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2024-03-01T00:00:00Z,52349,Depósito 4 - Ushuaia
EQP-0081,CLI-040,Cliente 040,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-12-01T00:00:00Z,371,Depósito 5 - Río Grande
EQP-0047,CLI-044,Cliente 044,Motor Cummins,Cummins,QSB 6.7,2025-02-01T00:00:00Z,208,Obra 5 - Río Grande
EQP-0009,CLI-009,Cliente 009,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2025-05-01T00:00:00Z,2776,Oficina 5 - Ushuaia
EQP-0053,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2025-02-01T00:00:00Z,972,Oficina 2 - Ushuaia
EQP-0099,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-03-01T00:00:00Z,46,Sucursal 4 - Ushuaia
EQP-0068,CLI-049,Cliente 049,Motor Cummins,Cummins,QSB 6.7,2023-09-01T00:00:00Z,1802,Oficina 3 - Tolhuin
EQP-0063,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-05-01T00:00:00Z,109669,Sucursal 4 - Tolhuin
EQP-0063,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-04-01T00:00:00Z,409,Sucursal 4 - Tolhuin
EQP-0100,CLI-032,Cliente 032,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2024-10-01T00:00:00Z,1053,Planta 2 - Río Grande
EQP-0012,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-01-01T00:00:00Z,-44008,Depósito 2 - Ushuaia
EQP-0016,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-04-01T00:00:00Z,114579,Oficina 5 - Tolhuin
EQP-0093,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-02-01T00:00:00Z,3633,Sucursal 4 - Ushuaia
EQP-0050,CLI-024,Cliente 024,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2022-07-01T00:00:00Z,471,Taller 5 - Río Grande
EQP-0041,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-10-01T00:00:00Z,3676,Taller 2 - Tolhuin
EQP-0084,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-02-01T00:00:00Z,2475,Planta 3 - Ushuaia
EQP-0079,CLI-014,Cliente 014,Motor Cummins,Cummins,QSB 6.7,2024-07-01T00:00:00Z,203,Taller 2 - Ushuaia
EQP-0053,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2023-01-01T00:00:00Z,228,Oficina 2 - Río Grande
EQP-0013,CLI-036,Cliente 036,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-02-01T00:00:00Z,1465,Oficina 1 - Ushuaia
EQP-0068,CLI-049,Cliente 049,Motor Cummins,Cummins,QSB 6.7,2025-01-01T00:00:00Z,3120,Oficina 3 - Ushuaia
EQP-0020,CLI-028,Cliente 028,Motor Cummins,Cummins,QSB 4.5,2024-05-01T00:00:00Z,1080,Depósito 3 - Tolhuin
EQP-0012,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-02-01T00:00:00Z,1452,Depósito 2 - Tolhuin
EQP-0034,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-05-01T00:00:00Z,3186,Obra 1 - Río Grande
EQP-0085,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2025-07-01T00:00:00Z,4263,Obra 1 - Ushuaia
EQP-0080,CLI-049,Cliente 049,Motor Cummins,Cummins,QSB 6.7,2022-03-01T00:00:00Z,265,Depósito 3 - Ushuaia
EQP-0034,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-06-01T00:00:00Z,4708,Obra 1 - Río Grande
EQP-0076,CLI-044,Cliente 044,Motor Cummins,Cummins,QSB 4.5,2024-01-01T00:00:00Z,635,Taller 2 - Ushuaia
EQP-0009,CLI-009,Cliente 009,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2022-12-01T00:00:00Z,959,Oficina 5 - Ushuaia
EQP-0050,CLI-024,Cliente 024,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2024-08-01T00:00:00Z,1991,Taller 5 - Tolhuin
EQP-0013,CLI-036,Cliente 036,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2022-10-01T00:00:00Z,557,Oficina 1 - Tolhuin
EQP-0058,CLI-008,Cliente 008,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-02-01T00:00:00Z,2240,Oficina 5 - Río Grande
EQP-0059,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-01-01T00:00:00Z,452,Oficina 1 - Río Grande
EQP-0001,CLI-025,Cliente 025,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-12-01T00:00:00Z,67970,Sucursal 3 - Río Grande
EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-06-01T00:00:00Z,808,Planta 4 - Ushuaia
EQP-0046,CLI-039,Cliente 039,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-01-01T00:00:00Z,1172,Depósito 3 - Ushuaia
EQP-0035,CLI-026,Cliente 026,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2025-01-01T00:00:00Z,-47869,Oficina 3 - Ushuaia
EQP-0003,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-02-01T00:00:00Z,2423,Taller 3 - Ushuaia
EQP-0095,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-11-01T00:00:00Z,1788,Taller 2 - Río Grande
EQP-0057,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-07-01T00:00:00Z,1948,Planta 4 - Tolhuin
EQP-0090,CLI-024,Cliente 024,Motor Cummins,Cummins,QSB 4.5,2023-12-01T00:00:00Z,586,Sucursal 4 - Tolhuin
EQP-0095,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-08-01T00:00:00Z,2525,Taller 2 - Tolhuin
EQP-0019,CLI-036,Cliente 036,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2024-09-01T00:00:00Z,1045,Planta 1 - Ushuaia
EQP-0020,CLI-028,Cliente 028,Motor Cummins,Cummins,QSB 4.5,2025-05-01T00:00:00Z,154,Sucursal 1 - Río Grande
EQP-0008,CLI-023,Cliente 023,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2023-09-01T00:00:00Z,3964,Sucursal 4 - Río Grande
EQP-0023,CLI-041,Cliente 041,Motor Cummins,Cummins,QSB 4.5,2025-09-01T00:00:00Z,76454,Planta 5 - Ushuaia
EQP-0075,CLI-049,Cliente 049,Motor Cummins,Cummins,QSB 4.5,2023-05-01T00:00:00Z,1195,Oficina 2 - Tolhuin
EQP-0002,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2023-11-01T00:00:00Z,2083,Sucursal 4 - Tolhuin
EQP-0081,CLI-040,Cliente 040,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-02-01T00:00:00Z,65,Obra 5 - Tolhuin
EQP-0022,CLI-004,Cliente 004,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-01-07T00:00:00Z,90,Planta 4 - Ushuaia
EQP-0083,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-05-01T00:00:00Z,346,Taller 2 - Ushuaia
EQP-0059,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-07-01T00:00:00Z,857,Oficina 1 - Río Grande
EQP-0013,CLI-036,Cliente 036,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2025-06-01T00:00:00Z,2200,Oficina 1 - Ushuaia
EQP-0001,CLI-025,Cliente 025,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-04-01T00:00:00Z,182,Sucursal 3 - Río Grande
EQP-0034,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-03-01T00:00:00Z,1591,Obra 1 - Río Grande
EQP-0026,CLI-026,Cliente 026,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2023-04-01T00:00:00Z,200,Taller 4 - Tolhuin
EQP-0097,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-07-01T00:00:00Z,985,Sucursal 5 - Ushuaia
EQP-0030,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2024-11-01T00:00:00Z,2414,Taller 4 - Río Grande
EQP-0085,CLI-001,Cliente 001,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2022-08-01T00:00:00Z,839,Depósito 3 - Río Grande
EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-05-01T00:00:00Z,1950,Planta 4 - Río Grande
EQP-0015,CLI-032,Cliente 032,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2025-06-01T00:00:00Z,754,Planta 4 - Ushuaia
EQP-0046,CLI-039,Cliente 039,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2025-09-01T00:00:00Z,2374,Depósito 3 - Ushuaia
EQP-0093,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-01-01T00:00:00Z,1307,Sucursal 4 - Ushuaia
EQP-0046,CLI-039,Cliente 039,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-04-01T00:00:00Z,1289,Depósito 3 - Ushuaia
EQP-0079,CLI-014,Cliente 014,Motor Cummins,Cummins,QSB 6.7,2024-01-09T00:00:00Z,322,Taller 2 - Río Grande
EQP-0008,CLI-023,Cliente 023,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2023-06-01T00:00:00Z,2613,Sucursal 4 - Río Grande
EQP-0042,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-11-01T00:00:00Z,2539,Oficina 1 - Ushuaia
EQP-0057,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-06-01T00:00:00Z,9276,Planta 4 - Tolhuin
EQP-0037,CLI-032,Cliente 032,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2023-06-01T00:00:00Z,1618,Obra 3 - Tolhuin
EQP-0069,CLI-049,Cliente 049,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2024-05-01T00:00:00Z,31,Depósito 5 - Río Grande
EQP-0034,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-03-01T00:00:00Z,312,Obra 1 - Río Grande
EQP-0055,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-02-01T00:00:00Z,449,Planta 1 - Tolhuin
EQP-0094,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2022-06-01T00:00:00Z,961,Taller 2 - Tolhuin
